customer_id	account_number	account_type	account_balance
650520535	8774826	checking	4759.52
686577571	7473142	checking	3087.14
698574814	3016275	checking	5819.95
715836096	50933	checking	2794.81
737587797	3821257	checking	721.85
748341678	2145490	checking	8561.89
790655350	6372996	checking	6179.30
791385336	1777513	checking	349.66
791537427	6415777	checking	1029.90
803382196	5902154	checking	6421.08
804468290	4398931	checking	2731.42
812199213	460303	checking	4107.26
813103156	9155380	checking	3455.13
813141680	9809497	checking	8682.10
819474523	3982023	checking	3863.81
847967465	7372962	checking	5273.39
849032522	4248069	checking	5420.17
860832766	4356651	checking	5522.74
866873014	4543750	checking	6150.53
870152970	7121390	checking	7155.36
905438394	4412653	checking	597.17
953183502	9747900	checking	6947.98
993447467	5496216	checking	6637.13
102702547	6697010	checking	3573.65
105162180	7777235	checking	8165.22
108321321	7494384	checking	2976.26
108960926	2398175	checking	3062.08
109539925	8115871	checking	1393.12
137219193	2617974	checking	8910.52
146897580	6698659	checking	6761.75
152750827	3712758	checking	8278.55
153165053	254473	checking	6436.72
166323333	1420163	checking	7790.66
185164166	4692837	checking	92.19
204592130	6382438	checking	1635.62
216752398	9030786	checking	247.07
246477770	4142988	checking	9973.73
272293575	7439704	checking	7277.32
280990409	4067481	checking	8505.45
300335716	324808	checking	6107.69
303287455	9564019	checking	9497.03
315921553	8793092	checking	5474.37
409222565	992571	checking	8539.75
411459232	9721016	checking	2985.84
434116790	5766161	checking	9873.28
444590853	2067916	checking	719.74
489580918	7394948	checking	4815.52
510589984	1892765	checking	5017.26
549328325	9407998	checking	1988.21
551402409	1717071	checking	2620.71
587466177	7952363	checking	1899.67
606767140	5641263	checking	2507.30
616854190	5612722	checking	541.70
629448052	5870357	checking	7726.67
631265448	1022286	checking	1931.41
645408636	6590217	checking	7156.84
652599185	6013554	checking	8597.24
744459069	4945561	checking	8936.07
746003950	9843682	checking	2410.19
768648915	2519899	checking	5368.93
778006055	9284941	checking	317.92
787421163	3734790	checking	7720.18
798593330	7396540	checking	3822.15
812985793	6921148	checking	3139.28
820825233	4932942	checking	5246.88
843717750	1435561	checking	1437.17
885344983	2879174	checking	84.36
916514637	1784268	checking	8668.27
949008496	7988528	checking	3937.84
978357193	5723616	checking	6804.56
102290381	6851956	checking	3846.09
108640974	8674606	checking	1834.75
113436998	3149919	checking	245.35
127987528	1776996	checking	8148.93
148096066	5413657	checking	2621.50
223456789	6866508	checking	6468.05
233577339	1740738	checking	9299.53
243410846	1275456	checking	8478.68
278591375	8567025	checking	7399.09
360329806	1294358	checking	4274.53
398435354	7489579	checking	4624.30
406024015	652778	checking	9390.98
414907281	4996573	checking	6809.92
460341675	9059881	checking	4869.64
470991649	7168577	checking	1233.95
472278615	4664041	checking	9618.34
473608343	4099584	checking	1642.89
555297090	5915723	checking	4649.93
693079090	5502474	checking	3562.58
722108157	1305492	checking	5839.71
738455694	5282080	checking	8891.27
742563623	8610092	checking	6376.66
784157044	6053018	checking	1135.12
921987501	7516524	checking	4177.27
936316509	8336789	checking	9152.13
946687014	750272	checking	6294.98
973590829	9224075	checking	7235.44
101571684	818532	"certificate deposit"	8577.75
102391698	863077	"certificate deposit"	5017.87
123456789	9734416	"certificate deposit"	6331.23
182046691	5164115	"certificate deposit"	8834.67
185087986	6900945	"certificate deposit"	8461.76
206325998	4089576	"certificate deposit"	5234.04
260841567	5194277	"certificate deposit"	4005.28
342318690	7791899	"certificate deposit"	5920.62
547254546	3375067	"certificate deposit"	8193.19
580371717	5598239	"certificate deposit"	9118.94
753521368	6643125	"certificate deposit"	6815.66
101365448	4312728	"certificate deposit"	4440.40
102167101	2997797	"certificate deposit"	7197.59
106019727	3380053	"certificate deposit"	5916.57
106156373	9463736	"certificate deposit"	8990.61
107012483	5837409	"certificate deposit"	9501.50
107018299	1471854	"certificate deposit"	7373.46
149447554	1318604	"certificate deposit"	7797.05
152025988	1755985	"certificate deposit"	3691.65
230023176	2709817	"certificate deposit"	5262.12
230376238	5119360	"certificate deposit"	1053.37
240885881	6383765	"certificate deposit"	2192.50
283380197	7358385	"certificate deposit"	5915.65
296837757	9768638	"certificate deposit"	6333.83
323456789	6473228	"certificate deposit"	1415.90
326849645	4051339	"certificate deposit"	7277.27
383024175	3952742	"certificate deposit"	1773.82
385891261	9732910	"certificate deposit"	7631.93
395671951	1908796	"certificate deposit"	2661.23
416809538	9915080	"certificate deposit"	6836.14
430536017	183419	"certificate deposit"	5803.06
464745931	4916126	"certificate deposit"	9185.44
487821862	8152247	"certificate deposit"	5748.03
512233580	7553637	"certificate deposit"	3724.71
514327696	8638972	"certificate deposit"	5307.01
523456789	3993544	"certificate deposit"	8458.98
579181690	28863	"certificate deposit"	1561.34
590752990	3916649	"certificate deposit"	6422.83
699281889	209004	"certificate deposit"	5670.76
702991608	1621732	"certificate deposit"	4928.25
712118749	4095463	"certificate deposit"	1149.19
759129944	2811978	"certificate deposit"	7442.26
767711085	1550034	"certificate deposit"	1424.08
787365949	2985396	"certificate deposit"	689.20
812861121	1045281	"certificate deposit"	9912.58
823136509	2397449	"certificate deposit"	2706.14
860381565	3573291	"certificate deposit"	8851.43
918292513	1847569	"certificate deposit"	4091.47
107513713	6854752	"certificate deposit"	4022.99
111255833	5684552	"certificate deposit"	9770.64
164035602	3030560	"certificate deposit"	6095.27
224199639	9033275	"certificate deposit"	9254.04
237387731	8089846	"certificate deposit"	2938.04
248039987	6052598	"certificate deposit"	4710.85
251020925	2849835	"certificate deposit"	8059.73
281917658	4227953	"certificate deposit"	8383.10
315466028	1008860	"certificate deposit"	7349.41
329466563	1609098	"certificate deposit"	8383.19
340612826	293797	"certificate deposit"	202.96
379337964	9277694	"certificate deposit"	6717.23
401544506	8613720	"certificate deposit"	5809.35
410842623	3382533	"certificate deposit"	1113.10
421645865	3750201	"certificate deposit"	2497.30
479169879	9730557	"certificate deposit"	2589.80
559716962	8662076	"certificate deposit"	5246.77
640467763	6746647	"certificate deposit"	7239.48
648088877	8068847	"certificate deposit"	2471.86
654614611	3348284	"certificate deposit"	2283.10
681968180	9525149	"certificate deposit"	9903.74
734783088	2195266	"certificate deposit"	5961.33
747363679	1439157	"certificate deposit"	2534.72
766251694	4176525	"certificate deposit"	5814.21
768253114	5264774	"certificate deposit"	6699.42
777863516	8415723	"certificate deposit"	8970.21
832244955	1108900	"certificate deposit"	6732.77
863725941	7666711	"certificate deposit"	9056.11
896187673	1698756	"certificate deposit"	1685.03
948514166	5030703	"certificate deposit"	1274.42
976093589	7488511	"certificate deposit"	311.29
995894500	4520755	"certificate deposit"	5330.99
102547670	8074746	"certificate deposit"	1962.00
106175264	2042802	"certificate deposit"	3456.73
109566079	3564364	"certificate deposit"	1603.77
143013004	1817439	"certificate deposit"	7109.95
165893029	5494025	"certificate deposit"	9998.35
234539919	7238073	"certificate deposit"	3530.06
249785243	9090266	"certificate deposit"	7643.06
301906633	5285531	"certificate deposit"	8028.36
321105199	3849280	"certificate deposit"	7223.44
377648552	197382	"certificate deposit"	8953.78
403334235	5841341	"certificate deposit"	6461.60
436193123	8013548	"certificate deposit"	5096.33
476395975	537249	"certificate deposit"	6915.08
591701279	1330761	"certificate deposit"	1202.38
623846578	6396352	"certificate deposit"	2508.59
642866267	6157077	"certificate deposit"	3054.10
650520535	4834111	"certificate deposit"	3772.70
715836096	5314136	"certificate deposit"	8504.13
737587797	7378852	"certificate deposit"	7159.51
790655350	3149243	"certificate deposit"	5266.88
791385336	8632634	"certificate deposit"	2503.21
791537427	5581177	"certificate deposit"	8051.39
812199213	2385097	"certificate deposit"	2350.96
813141680	5925203	"certificate deposit"	1791.74
849032522	4138395	"certificate deposit"	3236.55
866873014	4338387	"certificate deposit"	4307.27
870152970	9684053	"certificate deposit"	2856.75
905438394	7587757	"certificate deposit"	2243.98
953183502	5551123	"certificate deposit"	2385.78
993447467	9220406	"certificate deposit"	275.37
105162180	7613796	"certificate deposit"	4812.52
137219193	7910565	"certificate deposit"	4384.23
146897580	7794643	"certificate deposit"	4404.81
152750827	9986192	"certificate deposit"	4010.59
166323333	1916977	"certificate deposit"	4264.86
185164166	5072321	"certificate deposit"	8641.46
204592130	4027296	"certificate deposit"	6165.47
216752398	5231000	"certificate deposit"	9918.55
272293575	7015934	"certificate deposit"	5850.59
280990409	3473903	"certificate deposit"	2754.11
303287455	2363339	"certificate deposit"	6370.73
411459232	2077459	"certificate deposit"	2670.01
434116790	7578443	"certificate deposit"	6539.12
444590853	184052	"certificate deposit"	1039.41
549328325	2662742	"certificate deposit"	3524.94
551402409	7607543	"certificate deposit"	9128.30
606767140	5090489	"certificate deposit"	5324.20
631265448	6808859	"certificate deposit"	4563.82
652599185	4178177	"certificate deposit"	6077.44
744459069	1031031	"certificate deposit"	1597.14
768648915	3680515	"certificate deposit"	9387.55
778006055	1318322	"certificate deposit"	8903.03
798593330	8778841	"certificate deposit"	5618.54
885344983	7000080	"certificate deposit"	6955.59
949008496	8775458	"certificate deposit"	9812.17
223456789	9698218	"certificate deposit"	9060.63
233577339	3860674	"certificate deposit"	677.82
278591375	9588680	"certificate deposit"	6937.43
360329806	8793174	"certificate deposit"	6202.60
414907281	807731	"certificate deposit"	7346.86
470991649	4641287	"certificate deposit"	4661.68
472278615	2937742	"certificate deposit"	6535.03
555297090	6937317	"certificate deposit"	5572.69
693079090	8539413	"certificate deposit"	1542.57
738455694	2943262	"certificate deposit"	7180.02
742563623	3811497	"certificate deposit"	7846.55
784157044	5451642	"certificate deposit"	3863.43
946687014	6426926	"certificate deposit"	480.78
